title,genres,hit-list,recovery_rate,proCm1,proCm2,WriterName,DirectorName,EditorName,main_lead,co_lead1,latestDir,grp_mainLead,grp_co_lead1,grp_writer,grp_Editor,AllGenre,grp_proCm1,grp_proCm2,2ndgrp_mainLead,2ndgrp_co_lead1
Avatar,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",5,1176.356576793249,Ingenious Film Partners,Twentieth Century Fox Film Corporation,Min Windle,James Cameron,John Refoua,Sam Worthington,Zoe Saldana,5,5,2,5,5,"Action,Adventure,Fantasy,Science Fiction",5,6,2,1
Pirates of the Caribbean: At World's End,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",3,320.3333333333333,Walt Disney Pictures,Jerry Bruckheimer Films,Katie Greathouse,Gore Verbinski,Craig Wood,Johnny Depp,Orlando Bloom,4,4,2,3,4,"Adventure,Fantasy,Action",6,3,8,1
Spectre,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",3,359.45902408163266,Columbia Pictures,Danjaq,Hanz Kawson,Sam Mendes,Lee Smith,Daniel Craig,Christoph Waltz,6,4,0,3,4,"Action,Adventure,Crime",5,0,3,0
The Dark Knight Rises,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",3,433.9756396,Legendary Pictures,Warner Bros.,Dileep Singh Rathore,Christopher Nolan,Lee Smith,Christian Bale,Michael Caine,4,4,3,3,4,"Action,Crime,Drama,Thriller",6,6,6,2
John Carter,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,109.28426923076924,Walt Disney Pictures,,Karin Silvestri,Andrew Stanton,Eric Zumbrunnen,Taylor Kitsch,Lynn Collins,5,2,0,5,2,"Action,Adventure,Science Fiction",6,6,1,0
Spider-Man 3,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",3,345.2990798449612,Columbia Pictures,Laura Ziskin Productions,Greg Outcalt,Sam Raimi,Bob Murawski,Tobey Maguire,Kirsten Dunst,6,4,3,3,4,"Fantasy,Action,Adventure",5,3,2,3
Tangled,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",2,227.61343692307693,Walt Disney Pictures,Walt Disney Animation Studios,Mark Mitchell,Nathan Greno,Tim Mertens,Zachary Levi,Mandy Moore,2,4,3,2,3,"Animation,Family",6,3,1,1
Avengers: Age of Ultron,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",4,501.9298907142857,Marvel Studios,Prime Focus,Jamie Christopher,Joss Whedon,Lisa Lassek,Robert Downey Jr.,Chris Hemsworth,4,4,3,4,4,"Action,Adventure,Science Fiction",4,0,4,2
Harry Potter and the Half-Blood Prince,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",3,373.5836788,Warner Bros.,Heyday Films,Stuart Wilson,David Yates,Mark Day,Daniel Radcliffe,Rupert Grint,4,4,0,3,4,"Adventure,Fantasy,Family",6,0,3,0
Batman v Superman: Dawn of Justice,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",3,349.30407759999997,DC Comics,Atlas Entertainment,Jason Fields,Zack Snyder,David Brenner,Ben Affleck,Henry Cavill,4,6,3,3,5,"Action,Adventure,Fantasy",4,3,5,2
