title,genres,hit-list,recovery_rate,proCm1,proCm2,WriterName,DirectorName,EditorName,main_lead,co_lead1
Avatar,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",5,1176.356576793249,Ingenious Film Partners,Twentieth Century Fox Film Corporation,Min Windle,James Cameron,John Refoua,Sam Worthington,Zoe Saldana
Pirates of the Caribbean: At World's End,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",3,320.3333333333333,Walt Disney Pictures,Jerry Bruckheimer Films,Katie Greathouse,Gore Verbinski,Craig Wood,Johnny Depp,Orlando Bloom
Spectre,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",3,359.45902408163266,Columbia Pictures,Danjaq,Hanz Kawson,Sam Mendes,Lee Smith,Daniel Craig,Christoph Waltz
The Dark Knight Rises,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",3,433.9756396,Legendary Pictures,Warner Bros.,Dileep Singh Rathore,Christopher Nolan,Lee Smith,Christian Bale,Michael Caine
John Carter,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,109.28426923076924,Walt Disney Pictures,,Karin Silvestri,Andrew Stanton,Eric Zumbrunnen,Taylor Kitsch,Lynn Collins
Spider-Man 3,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",3,345.2990798449612,Columbia Pictures,Laura Ziskin Productions,Greg Outcalt,Sam Raimi,Bob Murawski,Tobey Maguire,Kirsten Dunst
Tangled,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",2,227.61343692307693,Walt Disney Pictures,Walt Disney Animation Studios,Mark Mitchell,Nathan Greno,Tim Mertens,Zachary Levi,Mandy Moore
Avengers: Age of Ultron,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",4,501.9298907142857,Marvel Studios,Prime Focus,Jamie Christopher,Joss Whedon,Lisa Lassek,Robert Downey Jr.,Chris Hemsworth
Harry Potter and the Half-Blood Prince,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",3,373.5836788,Warner Bros.,Heyday Films,Stuart Wilson,David Yates,Mark Day,Daniel Radcliffe,Rupert Grint
Batman v Superman: Dawn of Justice,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",3,349.30407759999997,DC Comics,Atlas Entertainment,Jason Fields,Zack Snyder,David Brenner,Ben Affleck,Henry Cavill
Superman Returns,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,144.84488592592592,DC Comics,Legendary Pictures,Guy Hendrix Dyas,Bryan Singer,Elliot Graham,Brandon Routh,Kevin Spacey
Quantum of Solace,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",3,293.0453635,Eon Productions,,Michael G. Wilson,Marc Forster,Matt Chesse,Daniel Craig,Olga Kurylenko
Pirates of the Caribbean: Dead Man's Chest,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",4,532.829906,Walt Disney Pictures,Jerry Bruckheimer Films,Cedric Nicolas-Troyan,Gore Verbinski,Craig Wood,Johnny Depp,Orlando Bloom
The Lone Ranger,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]",1,35.01565098039215,Walt Disney Pictures,Jerry Bruckheimer Films,Lee Orloff,Gore Verbinski,James Haygood,Johnny Depp,Armie Hammer
Man of Steel,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,294.598008,Legendary Pictures,Warner Bros.,Carlos Castillon,Zack Snyder,David Brenner,Henry Cavill,Amy Adams
The Chronicles of Narnia: Prince Caspian,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",2,186.51173911111113,Walt Disney,Walden Media,Manning Tillman,Andrew Adamson,Josh Campbell,Ben Barnes,William Moseley
The Avengers,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",4,690.708140909091,Paramount Pictures,Marvel Studios,Mike Marcuzzi,Joss Whedon,Lisa Lassek,Robert Downey Jr.,Chris Evans
Pirates of the Caribbean: On Stranger Tides,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",3,275.1878426315789,Walt Disney Pictures,Jerry Bruckheimer Films,Lee Orloff,Rob Marshall,Wyatt Smith,Johnny Depp,Penélope Cruz
Men in Black 3,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,277.3452337777778,Amblin Entertainment,Media Magik Entertainment,Mark Aaron Wagner,Barry Sonnenfeld,Don Zimmerman,Will Smith,Tommy Lee Jones
The Hobbit: The Battle of the Five Armies,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",3,382.4079152,WingNut Films,New Line Cinema,John Mckay,Peter Jackson,Jabez Olssen,Martin Freeman,Ian McKellen
The Amazing Spider-Man,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",3,349.8678404651163,Columbia Pictures,Laura Ziskin Productions,Jatinder Singh Manhas,Marc Webb,Alan Edward Bell,Andrew Garfield,Emma Stone
Robin Hood,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2,155.33477,Imagine Entertainment,Universal Pictures,Heather Noble,Ridley Scott,Pietro Scalia,Russell Crowe,Cate Blanchett
The Hobbit: The Desolation of Smaug,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",3,383.36,WingNut Films,New Line Cinema,Chrissy Metge,Peter Jackson,Jabez Olssen,Martin Freeman,Ian McKellen
The Golden Compass,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2,206.79714666666666,New Line Cinema,Ingenious Film Partners,Nikki Clapp,Chris Weitz,Anne V. Coates,Dakota Blue Richards,Nicole Kidman
King Kong,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",3,265.7004830917874,WingNut Films,Universal Pictures,Shona McCullagh,Peter Jackson,Jamie Selkirk,Naomi Watts,Jack Black
